Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
6610;Agbaou/Mota;RD204;RD204;;777;777E;-1;KDP01670;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6611;Agbaou/Mota;RD205;RD205;;777;777E;-1;KDP01671;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6612;Agbaou/Mota;RD206;RD206;;777;777E;-1;KDP01672;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6613;Agbaou/Mota;RD207;RD207;;777;777E;-1;KYD00206;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6614;Agbaou/Mota;RD208;RD208;;777;777E;-1;KYD00207;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6615;Agbaou/Mota;RD209;RD209;;777;777E;-1;KYD00450;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6616;Agbaou/Mota;RD210;RD210;;777;777E;-1;KYD00452;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6617;Agbaou/Mota;RD211;RD211;;777;777E;-1;KYD00453;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6618;Agbaou/Mota;RD212;RD212;;777;777E;-1;KYD02831;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6723;Agbaou/Mota;RD218;RD218;;777;777-05;-1;7W804154;12/29/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;17/11/2025
6724;Agbaou/Mota;RD221;RD221;;777;777-05;-1;7W804157;12/29/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;17/11/2025
6725;Agbaou/Mota;RD222;RD222;;777;777-05;-1;7W804158;12/28/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;17/11/2025
